CRASH_ID,UNIT_NBR
14992005,1
14966198,1
15015780,1
14966236,1
15037132,1
15000104,1
14872506,1
15034103,1
14854198,1
14902598,1
14888683,1
15023070,1
15202525,2
14996110,1
15009353,1
15155720,1
14968192,2
15207888,1
15015644,1
15070323,1
15195614,2
15208414,1
15045342,1
15043102,1
14899029,1
15181802,1
14898989,1
14976402,1
15010045,2
15002799,1
15072109,1
15097633,1
14891984,1
15026408,1
15002393,1
15090012,1
14955067,1
15088442,1
14938064,1
15000191,1
14896848,1
15177832,1
14981251,1
15022698,1
15056034,2
15215876,1
15210163,1
15237398,1
15189147,1
14953942,1
14893022,1
14909385,2
15163849,1
14919494,1
14932787,2
15205415,1
15013044,1
15088389,2
15113624,1
15117524,3
14923320,2
15010880,2
15561244,1
14866688,1
15216860,2
15028293,1
14889254,1
15018769,2
14914416,1
14958707,1
14972605,2
15196688,1
15167355,1
14963473,1
15110798,1
15149433,2
15124408,1
14888611,1
14858705,1
14888810,1
15199575,2
14855428,2
15080612,1
14853368,1
15174773,1
15190842,1
15185191,1
14855642,1
14967195,1
15114044,1
15140900,1
14923953,1
15077518,1
15102819,1
14861654,1
14934317,1
15028553,1
14946617,1
14948238,1
15215737,1
14950216,1
14946803,1
15024640,1
14673345,2
15052552,1
14998613,1
15207303,1
14878676,1
15107465,1
15109435,1
15158937,2
14993316,1
14966103,2
15200420,1
15110581,1
15164795,1
14889921,1
15195384,1
14896495,1
15067527,1
15157596,1
15152243,1
15187255,1
15215129,2
15078068,1
15030269,1
14974457,1
15190843,1
15207247,1
15193579,1
14930521,1
15006319,1
15125163,1
15185032,1
15004311,1
15192643,1
15153670,1
15164226,1
15197631,1
14896268,1
14977407,2
14905780,2
14898984,1
15040449,2
14898984,2
15069514,1
14991031,1
15050038,2
14901419,1
14840537,2
14916528,1
15080682,2
15095030,2
15023040,1
15172548,1
14900449,1
15077202,1
15213233,2
14968837,1
15078523,2
15188330,1
14882525,1
15079182,1
15156983,1
15206601,1
15125676,1
14931654,1
15164206,1
14881302,1
15117524,2
15142067,1
15187101,1
14883225,1
14863670,2
14901415,1
14982941,1
15189032,1
15190908,1
15091392,1
15177959,1
14943971,2
14976492,1
14888888,1
15052787,1
15044241,1
14944151,1
15173752,1
15126540,1
15157344,1
15215739,3
14883435,1
15068525,1
14902687,1
15056177,1
15000451,2
15207109,1
15068750,1
15161097,1
15215739,2
15080148,1
15209513,2
15213973,2
14998194,1
15069529,1
15134780,2
14915445,1
15174857,2
14916528,2
14906268,1
15120442,1
15010908,1
15115258,1
15166369,1
15164065,2
14885353,1
15047870,2
15033863,1
14936734,2
15105604,2
14872645,1
14925263,1
15005308,1
14944481,1
15165410,1
14871580,1
15002773,1
14905933,1
15008214,1
14939538,4
14971515,1
15050067,1
15068241,1
14987085,1
14899284,1
15028018,2
14900471,1
14986551,2
15181129,1
15109888,2
14906557,1
15159713,1
15164313,1
14988821,1
14990274,1
15213996,1
14948151,2
14913732,1
15081679,1
15140546,2
15160821,1
15201427,1
14939121,1
15012693,1
15194267,1
15182852,1
14968441,1
14891232,1
15014959,1
14920080,1
15112589,1
15019010,1
15186393,1
15010403,2
15219650,1
15127240,1
15131346,1
15297174,1
15298226,2
15224671,1
15240677,1
15430315,1
15397658,2
15370987,1
15307231,1
15330079,3
15247606,1
15423499,1
15375497,1
15299358,1
15326788,1
15422913,1
15241352,1
15431850,1
15290767,2
15261308,1
15268793,2
15443852,1
15617311,1
15378703,2
15427215,1
15390353,3
15471307,1
15311089,1
15339729,1
15247031,1
15443591,1
15225183,1
15416284,1
15322225,2
15329801,1
15235232,2
15344487,1
15252689,1
15310472,1
15315969,1
15399675,1
15545234,1
15317011,1
15241636,2
15276910,1
15513712,1
15329261,2
15352001,1
15311401,1
15443852,2
15514416,1
15267141,1
15283078,1
15247608,1
15353642,1
15234838,1
15347363,1
15359650,1
15388050,1
15226183,1
15504720,1
15261577,1
15255249,1
15400609,1
15350401,1
15252022,1
15273143,1
15372894,1
15454255,1
15258469,2
15499290,1
15356285,1
15487934,1
15251062,1
15359861,1
15413129,1
15432490,1
15234435,1
15412770,1
15384911,1
15226505,1
15312081,1
15276810,1
15224429,1
15313056,1
15397948,1
15435778,2
15236082,1
15415257,2
15309478,1
15434688,1
15270567,1
15386364,1
15300277,1
15234755,1
15508758,1
15496183,2
15431483,1
15489859,1
15247926,1
15353342,1
15460979,3
15468104,1
15228061,1
15597352,1
15241953,1
15498422,1
15270266,1
15415081,1
15264186,1
15250503,2
15481288,2
15284675,2
15463237,1
15262131,1
15413514,1
15242170,1
15456193,1
15233682,1
15552416,1
15254690,1
15330506,1
15227142,1
15245674,2
15500991,1
15270372,2
15239066,1
15338625,1
15299250,1
15396023,1
15228285,1
15244233,2
15253750,1
15263040,1
15242539,1
15251167,1
