CRASH_ID,UNIT_NBR
15370024,1
15380763,1
15401502,1
15256033,1
15034410,1
15036230,1
15344851,1
14882526,1
15045344,1
15188119,2
15347308,1
14922828,1
15459771,1
15004407,1
15010752,1
15210487,1
15204729,1
15351724,2
15486150,1
15193820,1
15312286,1
14940250,1
14917325,1
14863904,1
14969517,1
15250720,1
15467346,1
14901488,1
14919934,1
15363385,1
14853424,1
14953620,1
15025138,1
15086364,1
15226656,1
15217005,1
15296889,1
15252845,1
14891283,1
14977973,1
15022918,1
15234488,1
15242524,1
15279038,1
15413548,1
15249649,1
15221579,1
15202952,1
15266797,1
15160021,1
15447223,1
15174741,1
15203427,1
15270140,1
15003780,1
15191790,1
15272469,1
15024551,1
15046906,1
15140740,1
15145326,1
15306925,1
14904788,1
15091616,2
15067255,1
15135145,1
15188833,1
15271541,1
15202086,1
15490637,1
15121071,1
15401735,1
14889491,1
15116682,1
15208791,1
15334932,1
14868311,2
14949361,1
15122505,1
15038385,1
15136599,1
15266678,1
14848933,1
15084202,1
15040611,1
15090505,1
15044416,2
15104909,1
15532047,1
15419902,1
14844539,1
14904790,2
15380002,1
14904944,1
15136626,1
15294230,1
15461195,1
15069864,2
14956005,1
15071656,1
15122358,1
15223129,1
14880282,1
14988214,1
15288814,1
15414056,1
14996121,1
15118823,2
15120950,1
14976396,1
14961065,1
15092091,1
15195383,1
15272762,1
15213008,1
15249125,1
15247284,1
14866886,1
15099666,1
15087491,1
15206345,1
15197765,1
15195647,1
14866721,2
15007669,1
15093271,1
14987647,1
15072248,2
15320338,1
14885595,1
14939989,1
15178928,1
15208505,1
14936732,1
14902512,1
15014825,1
15056126,1
15085932,1
15182729,2
15182548,1
15172843,1
15234735,1
15295943,1
14929572,2
14924413,1
15036731,1
15039155,1
15097753,2
14882811,1
15085590,2
15154703,1
14869453,2
14869138,1
14997633,1
15023245,1
15163394,1
15216957,1
15193603,1
14889075,1
14982551,1
14942133,1
15258462,2
15346873,1
14934468,1
14992748,1
15040960,1
14966651,1
15127331,1
14970477,1
14957631,1
15089939,2
15179223,2
15215906,1
14952286,1
14961036,1
15011072,1
15101450,1
15425282,1
14992986,1
14997836,3
15012914,1
14994299,1
15119020,1
15089613,1
15234627,1
15189538,1
15557996,1
15021741,1
15115425,1
15156217,1
14993328,1
15215746,1
15189391,2
15258455,1
15034211,1
15020975,1
15383274,1
15505667,1
14927179,1
15079445,2
14901828,1
14940763,1
15121738,1
15002765,1
14999918,1
15105369,1
15482693,1
15175559,1
15182560,1
15208169,1
15420054,1
15462321,1
15132380,1
15181972,2
15507963,1
14883219,1
14878528,1
15221082,1
14895150,2
15027119,1
15191252,1
15355371,1
15165378,1
15233628,1
15519290,1
